Article 1 ID,Article 2 ID,Article 1 Reject,Article 2 Reject,Article 1 Headline,Article 2 Headline,Article 1 Site Name,Article 2 Site Name,Article 1 Sentiment Count,Article 2 Sentiment Count,Hash Similarity Score,Marking,Live Latest Feed,Article 1 URL,Article 2 URL
3746,3745,False,True,Ron DeSantis drops out of presidential race,Ron DeSantis drops out of presidential race and backs Trump,BBC News,BBC News,3,3,96,PP_DEEP,FALSE,https://www.bbc.co.uk/news/world-us-canada-68051757.amp,https://www.bbc.co.uk/news/world-us-canada-68051757?at_medium=RSS&;at_campaign=KARANGA
25,37,False,True,Sir <b>Keir Starmer</b> to promise &#39;better bargain&#39; for UK in major economic speech,<b>Starmer</b> says he is not in &#39;business&#39; of spending cuts - but does not explicitly rule them out,Sky News,Sky News,2,2,100,PP_DEEP,FALSE,https://news.sky.com/story/sir-keir-starmer-to-promise-better-bargain-for-uk-in-major-economic-speech-13022572?dcmp=snt-sf-twitter,https://news.sky.com/story/sir-keir-starmer-to-promise-better-bargain-for-uk-in-major-economic-speech-13022572
31,45,False,True,I knew the Iron Lady – <b>Starmer</b> is no Thatcher,I knew Mrs Thatcher – <b>Starmer</b> is no Thatcher,Yahoo Movies,Yahoo Sport,3,3,100,PP_DEEP,FALSE,https://uk.movies.yahoo.com/knew-mrs-thatcher-starmer-no-185128471.html,https://uk.sports.yahoo.com/news/knew-mrs-thatcher-starmer-no-185128471.html
96,2526,False,True,Plan by Conservative rebels to destabilize UK PM`s government to reinstall Boris as leader,Brunei&#39;s <b>Prince</b> Abdul Mateen Marries Commoner In Lavish Ceremony; Gun Salutes Fired At Royal Wedding (WATCH),Middle East North Africa Financial Network,Middle East North Africa Financial Network,2,1,100,PP_DEEP,FALSE,https://menafn.com/1107569041/Plan-by-Conservative-rebels-to-destabilize-UK-PMs-government-to-reinstall-Boris-as-leader,https://menafn.com/1107710547/Bruneis-Prince-Abdul-Mateen-Marries-Commoner-In-Lavish-Ceremony-Gun-Salutes-Fired-At-Royal-Wedding-WATCH
115,137,False,True,"Eat Out To Help Out ‘a mistake&#39;, says son whose father died with Covid-19","Eat Out To Help Out ‘a mistake’, says son whose father died with Covid-19",The Irish News,Andover Advertiser,2,2,96,PP_DEEP,FALSE,https://www.irishnews.com/news/uknews/2023/12/11/news/eat_out_to_help_out_a_mistake_says_son_whose_father_died_with_covid-19-3841086/,https://www.andoveradvertiser.co.uk/news/national/23983163.eat-help-a-mistake-says-son-whose-father-died-covid-19/
120,123,False,True,<b>Rishi Sunak</b>: Eat Out to Help Out &#39;matter of social justice&#39;,<b>Rishi Sunak</b>: Saving hospitality &#39;matter of social justice&#39;,The Herald,The Herald,3,3,100,PP_DEEP,FALSE,https://www.heraldscotland.com/news/23982002.rishi-sunak-eat-help-matter-social-justice/?ref=rss,https://www.heraldscotland.com/news/23982002.rishi-sunak-saving-hospitality-matter-social-justice/
130,140,False,True,<b>Rishi Sunak</b>’s Rwanda plan boosted by backing from moderate group of Tory MPs,Rishi Sunak’s Rwanda plan boosted by backing from moderate group of Tory MPs,Evening Standard,Hampshire Chronicle,0,0,96,PP_DEEP,FALSE,https://www.standard.co.uk/news/politics/rishi-sunak-government-rwanda-mps-james-cleverly-b1126301.html,https://www.hampshirechronicle.co.uk/news/national/23983118.rishi-sunaks-rwanda-plan-boosted-backing-moderate-group-tory-mps/
138,217,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360
138,456,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200
138,694,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916
